Time,Longitude,Latitude,Altitude
2024-06-01 20:09:00,-152.6091121338056,-90.0,-6353840.227970443
2024-06-01 20:10:00,-149.5340832956161,-90.0,-6353545.2978635095
2024-06-01 20:11:00,-146.2929331761243,-90.0,-6353265.485889838
2024-06-01 20:12:00,-142.86128578645074,-90.0,-6353002.105714599
2024-06-01 20:13:00,-139.21353434518028,-90.0,-6352756.392740655
2024-06-01 20:14:00,-135.3234910911354,-90.0,-6352529.498462769
2024-06-01 20:15:00,-131.16552103114233,-90.0,-6352322.485244817
2024-06-01 20:16:00,-126.7163192266342,-90.0,-6352136.321537484
2024-06-01 20:17:00,-121.95746787208402,-90.0,-6351971.877550108
2024-06-01 20:18:00,-116.87880906023595,-90.0,-6351829.921388998
2024-06-01 20:19:00,-111.48244976364491,-90.0,-6351711.115670814
2024-06-01 20:20:00,-105.78686119055291,-90.0,-6351616.014618966
2024-06-01 20:21:00,-99.83010823682606,-90.0,-6351545.061647295
2024-06-01 20:22:00,-93.67093899371086,-90.0,-6351498.587436032
2024-06-01 20:23:00,-87.38657328305644,-90.0,-6351476.808501988
2024-06-01 20:24:00,-81.06677042890584,-90.0,-6351479.826265191
2024-06-01 20:25:00,-74.80499783520828,-90.0,-6351507.626612838
2024-06-01 20:26:00,-68.68868783495317,-90.0,-6351560.079961117
2024-06-01 20:27:00,-62.79096595759555,-90.0,-6351636.941814799
2024-06-01 20:28:00,-57.165601675968446,-90.0,-6351737.853823835
2024-06-01 20:29:00,-51.84567959547645,-90.0,-6351862.345335843
2024-06-01 20:30:00,-46.84533147958031,-90.0,-6352009.835442446
2024-06-01 20:31:00,-42.16328771894838,-90.0,-6352179.63551621
2024-06-01 20:32:00,-37.78702633560484,-90.0,-6352370.952234141
2024-06-01 20:33:00,-33.69665782947601,-90.0,-6352582.891081791
2024-06-01 20:34:00,-29.868105330671067,-90.0,-6352814.460330589
2024-06-01 20:35:00,-26.27546277006019,-90.0,-6353064.5754780965
2024-06-01 20:36:00,-22.892600886666933,-90.0,-6353332.0641395785
2024-06-01 20:37:00,-19.69416850098718,-90.0,-6353615.671374906
2024-06-01 20:38:00,-16.656147210552255,-90.0,-6353914.065434502
2024-06-01 20:39:00,-13.7560967434838,-90.0,-6354225.843900451
2024-06-01 20:40:00,-10.973197278733762,-90.0,-6354549.540201069
2024-06-01 20:41:00,-8.288165350619243,-90.0,-6354883.630469018
